pc,pearson_r,p_value
10,-0.1256128877169962,8.436106863234286e-21
1,-0.11959823651265473,5.444431528369539e-19
4,-0.0896847776642248,2.6368826316585662e-11
9,-0.08942655418752021,3.006051205928448e-11
7,0.07866954610775148,5.091798511457222e-09
17,-0.07866054527629443,5.112352024404204e-09
6,-0.06876255776874982,3.2851478755422316e-07
8,0.06737973585834386,5.633291242581151e-07
2,-0.06725946158754911,5.900936623240885e-07
3,0.065931716811911,9.79958394610904e-07
5,0.05995983661768105,8.5331351459562e-06
24,0.053818068832355355,6.477784159928472e-05
22,-0.03453240147796008,0.010403993700623391
46,-0.03142971197342142,0.019712074009878316
15,0.028804351046499428,0.03260429646978936
41,0.02844586909155602,0.03483107935833203
55,-0.02727833678091765,0.04300432375559662
20,0.02568277679858512,0.05674632574982846
13,-0.025316759062718023,0.06036774424369622
25,-0.023892860701131422,0.07632211202630657
60,0.021698536179674516,0.10748183785400779
11,-0.021273458922472312,0.11454823478053924
14,-0.02108066363638353,0.1178714056662847
35,0.021039236098363848,0.1185952587325054
18,0.020938052882678984,0.12037785686743951
31,-0.02031845533276883,0.13175478085717807
45,0.019320743892909283,0.1518024430656058
0,-0.019313695451452555,0.15195190407047843
23,-0.019178318862625627,0.1548443234976884
39,0.018633420210777463,0.16691034680403125
37,-0.01845022748593858,0.17112166853266558
21,-0.017100449427609767,0.2046305351858747
51,0.016766463813667934,0.21361323627566856
28,-0.016303784707936878,0.22652215730984895
49,-0.016124817190892066,0.23166172599887805
33,0.015331134102536892,0.2554508419258832
63,-0.015183958781774714,0.26004236967195665
52,0.014201293452912359,0.2921609864841926
29,0.014188144692362119,0.2926080813131578
61,0.012451920363776995,0.3556837526952355
42,0.012365427735286354,0.35903534634588063
26,0.011817443094695877,0.3807283119301859
30,-0.011615240506962159,0.38893199711511656
47,0.01152841967948959,0.3924872204589081
43,0.0113699710831336,0.3990260958185791
27,-0.011080547417441982,0.41113798482109
32,0.010340866566317053,0.44306708717085735
50,0.00904177791852594,0.5024362966027534
58,0.008850971491278555,0.5114973366471217
36,-0.007552089029753989,0.5753687597857484
57,0.007378033603187374,0.5842058394814185
19,-0.0060800806220753555,0.6520064864584411
53,0.005597681823450245,0.6779991195726502
59,0.0044132382412846085,0.7434101894548351
62,-0.003963459072985688,0.7687737770574253
16,-0.003795660979046354,0.7783015061071424
12,0.0037859658151007227,0.7788530411309301
44,0.0021790935683234404,0.871598702359211
56,0.0013826400559245298,0.9183174594694881
48,-0.0010414922886151107,0.9384249141208588
54,-0.0009342691220471117,0.9447534402039939
34,-0.0008671795899844927,0.9487149979300478
38,0.000838362147702428,0.9504170288545634
40,-0.0005370098663317752,0.9682277410671923
